epoch,model_name,model_size,patch_size,window_size,image_size,difficulty_bonus,train_weighted_log_loss,validation_weighted_log_loss,train_weighted_f1,validation_weighted_f1,train_weighted_accuracy,validation_weighted_accuracy
1,microsoft/swinv2-tiny-patch4-window8-256,tiny,4,8,256,0.0,0.6824110087094988,0.7667067478264004,0.49014567266495285,0.3381309200379196,0.585709094873006,0.3873459198002808
2,microsoft/swinv2-tiny-patch4-window8-256,tiny,4,8,256,0.0,0.6721062677194088,0.7433220048611715,0.5449032867444797,0.38929311613155787,0.642207249528931,0.4974645030425964
3,microsoft/swinv2-tiny-patch4-window8-256,tiny,4,8,256,0.0,0.6638110518206893,0.7428394529459929,0.5487297226726652,0.42392025141275513,0.6334309644064013,0.4905991574348572
4,microsoft/swinv2-tiny-patch4-window8-256,tiny,4,8,256,0.0,0.6552541784592277,0.7414144611970955,0.5530652282607774,0.4782612392028838,0.6606783391384241,0.575947885785614
5,microsoft/swinv2-tiny-patch4-window8-256,tiny,4,8,256,0.0,0.6334527560307932,0.7271105048924518,0.5700901670870473,0.45159419088856195,0.6763071836052469,0.5332735216102356
6,microsoft/swinv2-tiny-patch4-window8-256,tiny,4,8,256,0.0,0.6812209123265809,0.7615223065716581,0.5547333909679053,0.4049253942020972,0.6188038225355182,0.453892963020752
7,microsoft/swinv2-tiny-patch4-window8-256,tiny,4,8,256,0.0,0.6359012620944671,0.6145783582588699,0.6032181889739942,0.5891751926234685,0.6700369068814982,0.6603994382899048
8,microsoft/swinv2-tiny-patch4-window8-256,tiny,4,8,256,0.0,0.6306202878874906,0.7950885659570515,0.6534218661350844,0.4445970345886242,0.7065596661250889,0.5025354969574036
9,microsoft/swinv2-tiny-patch4-window8-256,tiny,4,8,256,0.0,0.6189790943552362,0.8818473420326838,0.6493693510127891,0.41255479177367044,0.7160881041490395,0.4350912778904665
10,microsoft/swinv2-tiny-patch4-window8-256,tiny,4,8,256,0.0,0.6155707404361382,0.9018593668340147,0.6418198831524292,0.41481130245490005,0.7241122363701484,0.4598611327820253
11,microsoft/swinv2-tiny-patch4-window8-256,tiny,4,8,256,0.0,0.5912384659059164,0.5942010345023879,0.665421135586053,0.6429552365212584,0.749352702092428,0.7457481666406615
12,microsoft/swinv2-tiny-patch4-window8-256,tiny,4,8,256,0.0,0.5421524120527093,0.5872814769021055,0.699870168582893,0.6244094242471524,0.7827836664988294,0.8012560461850523
13,microsoft/swinv2-tiny-patch4-window8-256,tiny,4,8,256,0.0,0.5449635148896288,0.7895603336584469,0.7118375130958057,0.46232556798523816,0.7836190026317564,0.5392416913715088
14,microsoft/swinv2-tiny-patch4-window8-256,tiny,4,8,256,0.0,0.5401083065198324,0.5329820004462759,0.7375499258013802,0.6543521508476531,0.793396990350226,0.7824543610547667
15,microsoft/swinv2-tiny-patch4-window8-256,tiny,4,8,256,0.0,0.5128899640334761,0.557220667441376,0.7380821736440715,0.6429552365212584,0.8015043058028415,0.7457481666406615
16,microsoft/swinv2-tiny-patch4-window8-256,tiny,4,8,256,0.0,0.5024221791115595,0.6085729249666643,0.7571857816990352,0.6442906126673998,0.8244883128208589,0.7150101419878295
17,microsoft/swinv2-tiny-patch4-window8-256,tiny,4,8,256,0.0,0.49837298402722635,0.5012761416337077,0.7397894532782971,0.6973161909249483,0.8140413554324749,0.8003588703385864
18,microsoft/swinv2-tiny-patch4-window8-256,tiny,4,8,256,0.0,0.5358152467783374,0.8484937221135729,0.7062622393539506,0.5013670679453173,0.7931474406557071,0.5076064908722109
19,microsoft/swinv2-tiny-patch4-window8-256,tiny,4,8,256,0.0,0.5196761775243098,0.6650004525917784,0.7286706207910303,0.6166005085049345,0.8058508567483531,0.7030738024652832
20,microsoft/swinv2-tiny-patch4-window8-256,tiny,4,8,256,0.0,0.5060618858192254,0.6361164041292456,0.7628869481401118,0.6429552365212584,0.8105301406198903,0.7457481666406615
